send_date,task_id,touch_type,sent_at_ist
2026-07-27,QC-STAB-060-20260101,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-068-20260119,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-069-20260119,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-244-20260119,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-245-20260119,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-028-20260125,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-029-20260125,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-030-20260125,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-031-20260125,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-032-20260125,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-033-20260125,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-034-20260125,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-035-20260125,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-036-20260125,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-037-20260125,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-038-20260125,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-246-20260125,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-039-20260209,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-040-20260209,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-041-20260209,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-042-20260209,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-043-20260209,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-082-20260221,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-083-20260221,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-084-20260221,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-085-20260221,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-180-20260221,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-181-20260221,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-182-20260221,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-044-20260227,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-121-20260302,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-122-20260302,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-123-20260302,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-124-20260302,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-125-20260302,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-126-20260302,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-127-20260302,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-194-20260302,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-195-20260302,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-196-20260311,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-197-20260311,action_critical,2026-07-27T10:55:41+05:30
